"","V1"
"2018-05-01 04:59:59",0
"2018-05-01 05:59:59",0
"2018-05-01 06:59:59",0
"2018-05-01 07:59:59",30
"2018-05-01 08:59:59",70
"2018-05-01 09:59:59",260
"2018-05-01 10:59:59",420
"2018-05-01 11:59:59",780
"2018-05-01 12:59:59",910
"2018-05-01 13:59:59",960
"2018-05-01 14:59:59",910
"2018-05-01 15:59:59",790
"2018-05-01 16:59:59",680
"2018-05-01 17:59:59",390
"2018-05-01 18:59:59",190
"2018-05-01 19:59:59",10
"2018-05-01 20:59:59",0
"2018-05-01 21:44:59",0
"2018-05-02 04:59:59",0
"2018-05-02 05:59:59",0
"2018-05-02 06:59:59",0
"2018-05-02 07:59:59",50
"2018-05-02 08:59:59",70
"2018-05-02 09:59:59",140
"2018-05-02 10:44:59",170
"2018-05-02 11:59:59",690
"2018-05-02 12:59:59",850
"2018-05-02 13:59:59",960
"2018-05-02 14:59:59",850
"2018-05-02 15:59:59",790
"2018-05-02 16:59:59",600
"2018-05-02 17:59:59",400
"2018-05-02 18:59:59",80
"2018-05-02 19:59:59",20
"2018-05-02 20:59:59",0
"2018-05-02 21:44:59",0
"2018-05-03 04:59:59",0
"2018-05-03 05:59:59",0
"2018-05-03 06:59:59",0
"2018-05-03 07:59:59",120
"2018-05-03 08:59:59",260
"2018-05-03 09:59:59",460
"2018-05-03 10:59:59",640
"2018-05-03 11:59:59",780
"2018-05-03 12:59:59",890
"2018-05-03 13:59:59",870
"2018-05-03 14:59:59",880
"2018-05-03 15:59:59",680
"2018-05-03 16:59:59",620
"2018-05-03 17:59:59",390
"2018-05-03 18:59:59",160
"2018-05-03 19:59:59",20
"2018-05-03 20:59:59",0
"2018-05-03 21:44:59",0
"2018-05-04 04:59:59",0
"2018-05-04 05:59:59",0
"2018-05-04 06:59:59",0
"2018-05-04 07:59:59",20
"2018-05-04 08:59:59",140
"2018-05-04 09:59:59",190
"2018-05-04 10:59:59",280
"2018-05-04 11:59:59",370
"2018-05-04 12:59:59",790
"2018-05-04 13:59:59",940
"2018-05-04 14:59:59",860
"2018-05-04 15:59:59",740
"2018-05-04 16:59:59",570
"2018-05-04 17:59:59",260
"2018-05-04 18:59:59",40
"2018-05-04 19:59:59",10
"2018-05-04 20:59:59",0
"2018-05-04 21:44:59",0
"2018-05-05 04:59:59",0
"2018-05-05 05:59:59",0
"2018-05-05 06:59:59",0
"2018-05-05 07:59:59",40
"2018-05-05 08:59:59",30
"2018-05-05 09:59:59",100
"2018-05-05 10:59:59",90
"2018-05-05 11:59:59",210
"2018-05-05 12:59:59",280
"2018-05-05 13:59:59",360
"2018-05-05 14:59:59",300
"2018-05-05 15:59:59",290
"2018-05-05 16:59:59",150
"2018-05-05 17:59:59",70
"2018-05-05 18:59:59",0
"2018-05-05 19:59:59",0
"2018-05-05 20:59:59",0
"2018-05-05 21:44:59",0
"2018-05-06 04:59:59",0
"2018-05-06 05:59:59",0
"2018-05-06 06:59:59",0
"2018-05-06 07:59:59",30
"2018-05-06 08:59:59",50
"2018-05-06 09:59:59",90
"2018-05-06 10:59:59",170
"2018-05-06 11:59:59",140
"2018-05-06 12:59:59",150
"2018-05-06 13:59:59",130
"2018-05-06 14:59:59",280
"2018-05-06 15:59:59",300
"2018-05-06 16:59:59",150
"2018-05-06 17:59:59",130
"2018-05-06 18:59:59",80
"2018-05-06 19:59:59",0
"2018-05-06 20:59:59",0
"2018-05-06 21:44:59",0
"2018-05-07 04:59:59",0
"2018-05-07 05:59:59",0
"2018-05-07 06:59:59",10
"2018-05-07 07:59:59",20
"2018-05-07 08:59:59",30
"2018-05-07 09:59:59",130
"2018-05-07 10:59:59",100
"2018-05-07 11:59:59",50
"2018-05-07 12:59:59",210
"2018-05-07 13:59:59",210
"2018-05-07 14:59:59",100
"2018-05-07 15:59:59",350
"2018-05-07 16:59:59",50
"2018-05-07 17:59:59",110
"2018-05-07 18:59:59",130
"2018-05-07 19:59:59",0
"2018-05-07 20:59:59",0
"2018-05-07 21:44:59",0
"2018-05-08 04:59:59",0
"2018-05-08 05:59:59",0
"2018-05-08 06:59:59",0
"2018-05-08 07:59:59",20
"2018-05-08 10:59:59",339
"2018-05-08 11:59:59",740
"2018-05-08 12:59:59",560
"2018-05-08 13:59:59",620
"2018-05-08 14:59:59",620
"2018-05-08 15:59:59",600
"2018-05-08 16:59:59",380
"2018-05-08 17:59:59",100
"2018-05-08 18:59:59",40
"2018-05-08 19:59:59",30
"2018-05-08 20:59:59",0
"2018-05-08 21:49:59",0
"2018-05-09 04:59:59",0
"2018-05-09 05:59:59",0
"2018-05-09 06:59:59",0
"2018-05-09 07:59:59",60
"2018-05-09 08:59:59",110
"2018-05-09 09:59:59",130
"2018-05-09 10:59:59",320
"2018-05-09 11:59:59",150
